pollutant,gene_symbol,Biomarker,Biomarker_Score,Evidence,log2FC,p_value,Pathway
PM2.5,ABHD3,Not classified,1,Limited evidence,0.162714871773488,0.0003,No KEGG pathway annotation
PM2.5,ATP11A,ATP11A,2,Moderate evidence,0.2437602093027829,0.02,Efferocytosis
PM2.5,PSCA,Not classified,1,Limited evidence,-0.2410080995037949,0.045,No KEGG pathway annotation
PM2.5,ST6GALNAC4,ST6GALNAC4,2,Moderate evidence,-0.1030627934365324,0.0009,Mucin type O-glycan biosynthesis
PM2.5,ST6GALNAC4,ST6GALNAC4,2,Moderate evidence,-0.1030627934365324,0.0009,Glycosphingolipid biosynthesis - ganglio series
PM2.5,ST6GALNAC4,ST6GALNAC4,2,Moderate evidence,-0.1030627934365324,0.0009,Metabolic pathways
PM2.5,CLTCL1,Not classified,1,Limited evidence,0.3598696668286874,0.77,Lysosome biogenesis
PM2.5,CLTCL1,Not classified,1,Limited evidence,0.3598696668286874,0.77,Endocytosis
PM2.5,CLTCL1,Not classified,1,Limited evidence,0.3598696668286874,0.77,Synaptic vesicle cycle
PM2.5,CLTCL1,Not classified,1,Limited evidence,0.3598696668286874,0.77,Endocrine and other factor-regulated calcium reabsorption
PM2.5,CLTCL1,Not classified,1,Limited evidence,0.3598696668286874,0.77,Huntington disease
PM2.5,CLTCL1,Not classified,1,Limited evidence,0.3598696668286874,0.77,Bacterial invasion of epithelial cells
