gene_symbol,average_fpkm_con,average_fpkm_p,average_tpm_con,average_tpm_p,fold_change,log2FC,expression_status
FLT3LG,16.79666667,18.76333333,33.86666667,40.10333333,1.1170867231361208,0.1597411913554615,Below fold-change threshold
ERI1,9.623333333,9.62,19.40333333,20.55666667,0.9996536197090284,-0.0004998076948118053,Below fold-change threshold
SAP130,25.4,25.43333333,51.24666667,54.37333333,1.0013123358267717,0.0018920591521265856,Below fold-change threshold
LOC100129098,0.0,0.006666667,0.0,0.016666667,,,Below fold-change threshold
SPIN1,19.17333333,20.83,38.69666667,44.53333333,1.0864047289788603,0.11956166457332137,Below fold-change threshold
WNT6,0.16,0.24,0.326666667,0.51,1.5,0.5849625007211562,Below fold-change threshold
SGPL1,14.22,15.78333333,28.68666667,33.75,1.109939052742616,0.15048045971048846,Below fold-change threshold
PRRX2,31.03333333,30.46666667,62.56333333,65.11666667,0.9817400646596928,-0.0265870021879181,Below fold-change threshold
PINLYP,0.743333333,0.706666667,1.493333333,1.51,0.9506726466146513,-0.07297944402964068,Below fold-change threshold
CLTA,187.7533333,170.8266667,378.6966667,365.1966667,0.9098462525139094,-0.13630531823060943,Below fold-change threshold
TRAPPC4,24.37333333,22.32333333,49.15666667,47.72666667,0.9158916848900289,-0.12675110236403356,Below fold-change threshold
LOC102723623,0.03,0.023333333,0.06,0.053333333,0.7777777666666668,-0.3625700999946374,Below fold-change threshold
LRRC47,10.10666667,10.18666667,20.39333333,21.77666667,1.0079155672797113,0.0113747898609203,Below fold-change threshold
EOLA1,3.69,3.443333333,7.45,7.366666667,0.9331526647696478,-0.09981496805615334,Below fold-change threshold
GDF5,0.13,0.13,0.263333333,0.276666667,1.0,0.0,Below fold-change threshold
SORBS2,0.136666667,0.146666667,0.273333333,0.313333333,1.073170731528852,0.10187961377929756,Below fold-change threshold
CSPP1,9.366666667,10.01333333,18.90333333,21.41333333,1.0690391455135573,0.0963146818743838,Below fold-change threshold
PPP3CC,4.55,4.006666667,9.18,8.563333333,0.8805860806593407,-0.18346405497600468,Below fold-change threshold
UBE2R2,27.65666667,28.11333333,55.79333333,60.09666667,1.0165119920433274,0.023627235113178536,Below fold-change threshold
TREH,0.06,0.036666667,0.12,0.08,0.6111111166666667,-0.7104933696896055,Below fold-change threshold
SNX9,17.82666667,20.47,35.96333333,43.76666667,1.1482797305257515,0.19947413738145026,Below fold-change threshold
LILRB2,0.043333333,0.03,0.086666667,0.063333333,0.692307697633136,-0.5305147056011258,Below fold-change threshold
TNFSF8,0.01,0.11,0.023333333,0.23,11.0,3.4594316186372973,Upregulated
TRAIP,16.7,15.05333333,33.69333333,32.18333333,0.9013972053892215,-0.149765117629033,Below fold-change threshold
DR1,5.923333333,6.31,11.95,13.48666667,1.0652785594296723,0.09123072975621402,Below fold-change threshold
IGFN1,0.033333333,0.026666667,0.056666667,0.056666667,0.8000000180000002,-0.32192806242672395,Below fold-change threshold
TLE5,232.07,239.8333333,468.0933333,512.6633333,1.0334525500926444,0.0474721504299826,Below fold-change threshold
FAM169A,2.8,3.22,5.65,6.883333333,1.1500000000000001,0.20163386116965068,Below fold-change threshold
DLL3,4.48,3.933333333,9.033333333,8.406666667,0.8779761904017856,-0.1877462786518191,Below fold-change threshold
RNF149,12.29333333,13.12,24.80666667,28.05333333,1.06724511959524,0.0938915653010881,Below fold-change threshold
AQP11,1.856666667,1.893333333,3.746666667,4.05,1.0197486531382856,0.028213601651642814,Below fold-change threshold
COX14,42.19,40.36,85.08333333,86.29,0.9566247926048828,-0.06397491311299364,Below fold-change threshold
ANP32C,0.12,0.06,0.233333333,0.126666667,0.5,-1.0,Downregulated
CAGE1,0.053333333,0.043333333,0.11,0.09,0.8124999988281251,-0.2995602839397179,Below fold-change threshold
SMCO4,5.08,5.806666667,10.24666667,12.41,1.143044619488189,0.1928817211883608,Below fold-change threshold
CLVS1,0.013333333,0.013333333,0.023333333,0.026666667,1.0,0.0,Below fold-change threshold
THPO,2.286666667,3.233333333,4.616666667,6.916666667,1.4139941687443158,0.49977617054264095,Below fold-change threshold
COMP,1.24,1.063333333,2.506666667,2.273333333,0.857526881451613,-0.22174619779541727,Below fold-change threshold
SPDYE18,0.113333333,0.183333333,0.226666667,0.393333333,1.6176470606401383,0.6938968738944589,Below fold-change threshold
CDKN2B,3.79,4.313333333,7.646666667,9.223333333,1.1380826736147758,0.1866053629887686,Below fold-change threshold
CGGBP1,27.01666667,31.43,54.51,67.21333333,1.1633559529718254,0.21829258693700282,Below fold-change threshold
CCT4,198.21,176.4833333,399.8,377.3133333,0.8903856177791231,-0.16749780558385305,Below fold-change threshold
CXCR6,0.123333333,0.126666667,0.25,0.273333333,1.0270270325054784,0.03847415551037736,Below fold-change threshold
TUBGCP6,10.22,9.973333333,20.62333333,21.32,0.9758643182974558,-0.035247521819359535,Below fold-change threshold
AREG,0.763333333,0.806666667,1.536666667,1.726666667,1.0567685598501173,0.07965945040380343,Below fold-change threshold
ADA2,0.21,0.203333333,0.423333333,0.433333333,0.9682539666666667,-0.04654258830210392,Below fold-change threshold
PPP1R9B,37.16333333,40.38666667,74.96,86.34333333,1.0867342364415404,0.11999916884115883,Below fold-change threshold
ZMYM1,6.22,5.81,12.54666667,12.43,0.9340836012861736,-0.0983764167260737,Below fold-change threshold
TADA2A,13.45,11.18666667,27.14,23.92333333,0.8317224289962826,-0.26582595729543407,Below fold-change threshold
PARP1,94.12333333,93.22,189.8766667,199.31,0.990402663207508,-0.013912900901522767,Below fold-change threshold
GBA,40.58333333,39.62,81.87333333,84.69333333,0.9762628337557504,-0.03465848612792794,Below fold-change threshold
KLHDC1,0.18,0.213333333,0.366666667,0.46,1.1851851833333336,0.24511249558232073,Below fold-change threshold
RYR2,0.006666667,0.01,0.016666667,0.023333333,1.4999999250000038,0.584962428586406,Below fold-change threshold
CYSTM1,67.56333333,61.93333333,136.3166667,132.44,0.9166707780313124,-0.12552441143067633,Below fold-change threshold
CD302,4.833333333,5.456666667,9.75,11.67333333,1.1289655173882047,0.17500142175948352,Below fold-change threshold
KDSR,5.083333333,6.623333333,10.25333333,14.15666667,1.3029508196919968,0.38178262993405543,Below fold-change threshold
RNASE4,2.296666667,2.683333333,4.633333333,5.73,1.1683599416301365,0.22448479990908154,Below fold-change threshold
EGR2,0.116666667,0.176666667,0.233333333,0.373333333,1.5142857128163265,0.598637436218313,Below fold-change threshold
DZIP3,10.98333333,10.78333333,22.15666667,23.05333333,0.9817905918002399,-0.026512753023665063,Below fold-change threshold
NAPG,7.9,7.503333333,15.94,16.04666667,0.9497890294936708,-0.07432100239555715,Below fold-change threshold
ENTPD6,36.41666667,32.99333333,73.45,70.54333333,0.9059954231664993,-0.14242433268613078,Below fold-change threshold
FASTKD1,7.906666667,7.466666667,15.95666667,15.95333333,0.9443507588556345,-0.08260527759745304,Below fold-change threshold
MCU,26.80666667,26.85,54.08,57.39666667,1.0016165131805999,0.002330252614175678,Below fold-change threshold
TBCE,26.45,23.90333333,53.35666667,51.10333333,0.9037177062381853,-0.1460559056672521,Below fold-change threshold
LOC107984751,0.146666667,0.143333333,0.296666667,0.3,0.9772727227789256,-0.03316687056915643,Below fold-change threshold
CCNA2,93.80666667,89.28333333,189.2433333,190.88,0.9517802571973641,-0.0712995659393504,Below fold-change threshold
TUBA8,1.51,1.666666667,3.046666667,3.56,1.103752759602649,0.14241704490439105,Below fold-change threshold
IWS1,26.44666667,27.64,53.36666667,59.09333333,1.0451222585020012,0.06367171878229709,Below fold-change threshold
FUT3,0.08,0.103333333,0.156666667,0.22,1.2916666625,0.369233805011864,Below fold-change threshold
ARFGEF2,13.91666667,15.68,28.09333333,33.53333333,1.1267065865564774,0.17211186224203165,Below fold-change threshold
RNF115,13.5,13.51666667,27.23,28.9,1.001234568148148,0.0017800068010675343,Below fold-change threshold
THSD1,8.67,8.633333333,17.5,18.46,0.9957708573241061,-0.006114301424777494,Below fold-change threshold
HAS1,0.07,0.12,0.136666667,0.25,1.714285714285714,0.7776075786635518,Below fold-change threshold
ZNF598,27.90333333,29.78,56.29,63.66,1.0672560029945355,0.09390627733475787,Below fold-change threshold
C10orf67,0.986666667,1.063333333,1.993333333,2.27,1.0777027020007761,0.10795924719626712,Below fold-change threshold
CHST2,2.126666667,2.573333333,4.286666667,5.5,1.2100313476159825,0.27504442309020566,Below fold-change threshold
H3C7,0.596666667,0.433333333,1.21,0.92,0.726256982275834,-0.4614479661515424,Below fold-change threshold
EPM2AIP1,4.146666667,4.326666667,8.366666667,9.25,1.0434083601251278,0.061303897863711085,Below fold-change threshold
RPIA,15.56666667,16.12666667,31.39333333,34.49,1.0359743040608191,0.05098821937217304,Below fold-change threshold
SNX4,15.48333333,15.97666667,31.23666667,34.15666667,1.0318622178755354,0.045250343960538814,Below fold-change threshold
DNAJC19,19.4,16.47,39.13666667,35.21,0.8489690721649484,-0.23621609734813523,Below fold-change threshold
CLN5,3.343333333,3.03,6.743333333,6.483333333,0.9062811566207658,-0.1419694062742356,Below fold-change threshold
TTLL1,8.05,9.19,16.22666667,19.64666667,1.141614906832298,0.19107607828705506,Below fold-change threshold
GRPEL1,23.82333333,19.15666667,48.06333333,40.94666667,0.8041136143562493,-0.314528738647102,Below fold-change threshold
SHLD1,6.193333333,4.983333333,12.49,10.64666667,0.8046286329281286,-0.31360501731603907,Below fold-change threshold
C12orf75,51.40333333,52.01666667,103.7133333,111.2333333,1.0119317814676045,0.01711203523408996,Below fold-change threshold
URGCP,10.16666667,9.43,20.51,20.16,0.9275409833024456,-0.10851706641437295,Below fold-change threshold
BMPER,0.073333333,0.213333333,0.15,0.46,2.9090909177685953,1.5405683856661967,Upregulated
UPF2,10.95333333,12.71,22.09666667,27.17,1.1603773588436939,0.21459405121508388,Below fold-change threshold
OARD1,10.89333333,9.283333333,21.95666667,19.84333333,0.8522031826047133,-0.2307306555286306,Below fold-change threshold
VANGL2,6.143333333,6.926666667,12.39333333,14.80666667,1.1275094955033917,0.17313958342120542,Below fold-change threshold
BCAR1,32.95333333,32.35666667,66.46666667,69.17,0.9818935870910271,-0.026361414232033226,Below fold-change threshold
PALM,42.74333333,51.31666667,86.22666667,109.6966667,1.200577088216531,0.2637280409836662,Below fold-change threshold
TMEM218,3.826666667,3.586666667,7.72,7.66,0.9372822299706199,-0.0934445641106546,Below fold-change threshold
PISD,11.81666667,11.83666667,23.83666667,25.3,1.0016925246821742,0.002439732893405506,Below fold-change threshold
EBLN2,0.963333333,1.116666667,1.936666667,2.39,1.1591695509201279,0.2130916037743136,Below fold-change threshold
ZMAT5,27.68,26.13333333,55.78333333,55.86666667,0.9441233139450866,-0.08295278953932758,Below fold-change threshold
HOXC10,17.04,17.51,34.36,37.43666667,1.0275821596244132,0.03925374820771968,Below fold-change threshold
CTNS,14.57,14.8,29.4,31.63333333,1.0157858613589568,0.022596298451799557,Below fold-change threshold
SNX29,2.95,3.156666667,5.953333333,6.75,1.0700564972881355,0.09768697065036874,Below fold-change threshold
PPP1R7,39.92666667,39.07,80.54333333,83.5,0.9785439972467402,-0.031291376194003254,Below fold-change threshold
U2AF2,167.89,152.8,338.7,326.6333333,0.9101197212460541,-0.13587175849118466,Below fold-change threshold
EFHC1,3.21,3.55,6.473333333,7.6,1.1059190031152648,0.1452457272697413,Below fold-change threshold
IER5L,16.65,14.76666667,33.58333333,31.56333333,0.8868868870870871,-0.17317797891173525,Below fold-change threshold
POLR2A,70.03,77.16,141.29,164.9466667,1.1018135084963587,0.13988005590930458,Below fold-change threshold
WNT2B,1.95,1.916666667,3.933333333,4.096666667,0.9829059830769231,-0.024874668388125756,Below fold-change threshold
SUCLG1,84.06666667,79.39666667,169.5766667,169.7433333,0.9444488501211559,-0.08245543027455345,Below fold-change threshold
ZNF804A,0.393333333,0.493333333,0.796666667,1.056666667,1.2542372883510484,0.32681031651493736,Below fold-change threshold
TTF1,5.97,5.73,12.04666667,12.25333333,0.9597989949748745,-0.059195792507899914,Below fold-change threshold
KIF5A,6.33,6.916666667,12.76333333,14.78333333,1.092680358135861,0.12787143104167953,Below fold-change threshold
CPE,8.01,8.72,16.16,18.65,1.0886392009987518,0.12252589236821652,Below fold-change threshold
DACT3,1.546666667,1.813333333,3.126666667,3.88,1.1724137926352558,0.22948184554664053,Below fold-change threshold
CRAMP1,7.096666667,7.23,14.31,15.45666667,1.0187881634091693,0.026854103152216275,Below fold-change threshold
ATP6V0D1,40.41,39.95333333,81.51666667,85.40333333,0.9886991667903985,-0.016396478454550258,Below fold-change threshold
