Gene,KEGG_ID,Pathway_ID,Pathway,Source
ABHD3,hsa:171586,,,KEGG - no pathway
ATP11A,hsa:23250,path:hsa04148,Efferocytosis,KEGG
PSCA,hsa:8000,,,KEGG - no pathway
ST6GALNAC4,hsa:27090,path:hsa00512,Mucin type O-glycan biosynthesis,KEGG
ST6GALNAC4,hsa:27090,path:hsa00604,Glycosphingolipid biosynthesis - ganglio series,KEGG
ST6GALNAC4,hsa:27090,path:hsa01100,Metabolic pathways,KEGG
CLTCL1,hsa:8218,path:hsa04142,Lysosome biogenesis,KEGG
CLTCL1,hsa:8218,path:hsa04144,Endocytosis,KEGG
CLTCL1,hsa:8218,path:hsa04721,Synaptic vesicle cycle,KEGG
CLTCL1,hsa:8218,path:hsa04961,Endocrine and other factor-regulated calcium reabsorption,KEGG
CLTCL1,hsa:8218,path:hsa05016,Huntington disease,KEGG
CLTCL1,hsa:8218,path:hsa05100,Bacterial invasion of epithelial cells,KEGG
