st_gene_id	gene_id	gene_symbol	fpkm_con_1	fpkm_con_2	fpkm_con_3	fpkm_p_1	fpkm_p_2	fpkm_p_3	tpm_con_1	tpm_con_2	tpm_con_3	tpm_p_1	tpm_p_2	tpm_p_3	read_count_con_1	read_count_con_2	read_count_con_3	read_count_p_1	read_count_p_2	read_count_p_3	average_fpkm_con	average_fpkm_p	average_tpm_con	average_tpm_p	average_read_count_con	average_read_count_p
G9606_9266	2323	FLT3LG	15.41	18.3	16.68	20.33	17.97	17.99	31.13	36.46	34.01	43.1	38.58	38.63	278.95	302	310.77	372.66	346.66	342.72	16.79666667	18.76333333	33.86666667	40.10333333	297.24	354.0133333
G9606_9392	90459	ERI1	9.88	10.26	8.73	10.65	9.34	8.87	19.96	20.44	17.81	22.58	20.05	19.04	638.87	561.75	635.44	662.66	636.42	672.93	9.623333333	9.62	19.40333333	20.55666667	612.02	657.3366667
G9606_4009	79595	SAP130	25.92	24.79	25.49	26.08	25.64	24.58	52.37	49.39	51.98	55.28	55.06	52.78	2030	1667.88	1966.98	1978.3	1965.88	1866.32	25.4	25.43333333	51.24666667	54.37333333	1888.286667	1936.833333
G9606_24999	100129098	LOC100129098	0	0	0	0	0.02	0	0	0	0	0	0.05	0	0	0	0	0	1	0	0	0.006666667	0	0.016666667	0	0.333333333
G9606_4181	10927	SPIN1	20.62	17.44	19.46	20.84	21.38	20.27	41.67	34.74	39.68	44.16	45.92	43.52	1785.01	1301.55	1660.83	1753.62	1817.42	1705.98	19.17333333	20.83	38.69666667	44.53333333	1582.463333	1759.006667
G9606_32562	7475	WNT6	0.15	0.18	0.15	0.25	0.34	0.13	0.31	0.35	0.32	0.53	0.73	0.27	5	5	5	8	11	4	0.16	0.24	0.326666667	0.51	5	7.666666667
G9606_16727	8879	SGPL1	14.81	13.77	14.08	14.82	16.24	16.29	29.93	27.43	28.7	31.41	34.87	34.97	1494.52	1200.49	1397.72	1483.54	1633.36	1595.46	14.22	15.78333333	28.68666667	33.75	1364.243333	1570.786667
G9606_16935	51450	PRRX2	30.4	33.48	29.22	31.91	30.49	29	61.41	66.71	59.57	67.63	65.46	62.26	682	660	683.91	684.74	653.17	617.4	31.03333333	30.46666667	62.56333333	65.11666667	675.3033333	651.77
G9606_4384	390940	PINLYP	0.65	0.79	0.79	0.48	0.84	0.8	1.31	1.57	1.6	1.02	1.8	1.71	11	9	11	7.97	14	11	0.743333333	0.706666667	1.493333333	1.51	10.33333333	10.99
G9606_3976	1211	CLTA	186.55	192.11	184.6	171.92	168.83	171.73	376.92	382.76	376.41	364.38	362.54	368.67	3487	3025	3314.92	3066.99	3029.05	3038.6	187.7533333	170.8266667	378.6966667	365.1966667	3275.64	3044.88
G9606_23441	51399	TRAPPC4	22.28	26.29	24.55	21.93	22.46	22.58	45.02	52.38	50.07	46.48	48.23	48.47	602	614.02	655	578	596	594	24.37333333	22.32333333	49.15666667	47.72666667	623.6733333	589.3333333
G9606_7997	102723623	LOC102723623	0	0.09	0	0.03	0.04	0	0	0.17	0.01	0.07	0.09	0	0	5.58	0.35	2.55	3.21	0	0.03	0.023333333	0.06	0.053333333	1.976666667	1.92
G9606_1798	57470	LRRC47	10.04	9.9	10.38	10.14	10.49	9.93	20.29	19.73	21.16	21.49	22.52	21.32	838.22	713.13	854.38	823	859.62	806.01	10.10666667	10.18666667	20.39333333	21.77666667	801.91	829.5433333
G9606_3067	91966	EOLA1	3.41	3.62	4.04	3.52	3.44	3.37	6.9	7.21	8.24	7.47	7.39	7.24	251.18	206.73	258.32	235.37	256.78	250.68	3.69	3.443333333	7.45	7.366666667	238.7433333	247.61
G9606_25755	8200	GDF5	0.17	0.07	0.15	0.09	0.18	0.12	0.34	0.15	0.3	0.19	0.38	0.26	8.43	3.15	7.19	4.24	8.53	5.76	0.13	0.13	0.263333333	0.276666667	6.256666667	6.176666667
G9606_631	8470	SORBS2	0.15	0.12	0.14	0.09	0.2	0.15	0.31	0.23	0.28	0.19	0.43	0.32	18	13	16	13	24	20	0.136666667	0.146666667	0.273333333	0.313333333	15.66666667	19
G9606_1021	79848	CSPP1	9.73	8.94	9.43	9.77	9.91	10.36	19.66	17.82	19.23	20.71	21.28	22.25	959.13	754.18	932.49	948.11	957.55	991.33	9.366666667	10.01333333	18.90333333	21.41333333	881.9333333	965.6633333
G9606_8819	5533	PPP3CC	4.42	4.41	4.82	4.1	3.94	3.98	8.93	8.79	9.82	8.69	8.46	8.54	189	165	204	172	166	166	4.55	4.006666667	9.18	8.563333333	186	168
G9606_4534	54926	UBE2R2	27.78	27.66	27.53	28.91	27.88	27.55	56.12	55.12	56.14	61.28	59.87	59.14	2413	2071.12	2357.22	2442.1	2377.18	2326.53	27.65666667	28.11333333	55.79333333	60.09666667	2280.446667	2381.936667
G9606_30907	11181	TREH	0.06	0.05	0.07	0.05	0.02	0.04	0.13	0.1	0.13	0.1	0.05	0.09	3.21	2.26	3.32	2.24	1.16	2.17	0.06	0.036666667	0.12	0.08	2.93	1.856666667
G9606_10460	51429	SNX9	18.04	17.37	18.07	20.39	19.9	21.12	36.45	34.6	36.84	43.21	42.74	45.35	1255	1046	1230.89	1383	1385	1429	17.82666667	20.47	35.96333333	43.76666667	1177.296667	1399
G9606_3808	10288	LILRB2	0.04	0.05	0.04	0.04	0	0.05	0.08	0.1	0.08	0.09	0	0.1	2.15	2.43	1	1.99	0	2.35	0.043333333	0.03	0.086666667	0.063333333	1.86	1.446666667
G9606_17078	944	TNFSF8	0	0	0.03	0.17	0.07	0.09	0	0	0.07	0.35	0.15	0.19	0	0	2	6	2	3	0.01	0.11	0.023333333	0.23	0.666666667	3.666666667
G9606_23486	10293	TRAIP	15.93	17.04	17.13	15.48	15.03	14.65	32.19	33.96	34.93	32.81	32.28	31.46	606	563	636	567	562	548	16.7	15.05333333	33.69333333	32.18333333	601.6666667	559
G9606_26667	1810	DR1	6.36	5.72	5.69	6.4	6.3	6.23	12.85	11.4	11.6	13.57	13.52	13.37	1257.88	976.07	1109.01	1230.87	1222.76	1196.93	5.923333333	6.31	11.95	13.48666667	1114.32	1216.853333
G9606_2226	91156	IGFN1	0.03	0.03	0.04	0.04	0.02	0.02	0.05	0.05	0.07	0.08	0.04	0.05	6	2	5	6	4	4	0.033333333	0.026666667	0.056666667	0.056666667	4.333333333	4.666666667
G9606_30603	166	TLE5	226.41	238.55	231.25	248.59	233.46	237.45	457.45	475.29	471.54	526.9	501.32	509.77	7754	7049.64	7814.65	8290.81	7854.42	7909.37	232.07	239.8333333	468.0933333	512.6633333	7539.43	8018.2
G9606_6948	26049	FAM169A	3.12	2.67	2.61	2.99	3.2	3.47	6.31	5.32	5.32	6.34	6.87	7.44	377.47	274.86	309.9	347.64	375.5	404.39	2.8	3.22	5.65	6.883333333	320.7433333	375.8433333
G9606_33898	10683	DLL3	4.85	4.7	3.89	4.05	3.78	3.97	9.79	9.37	7.94	8.58	8.11	8.53	202	171	158	161	153	161.99	4.48	3.933333333	9.033333333	8.406666667	177	158.6633333
G9606_16887	284996	RNF149	12.26	11.9	12.72	13.06	13.28	13.02	24.78	23.7	25.94	27.69	28.51	27.96	646.25	534.28	663.9	674.08	680.87	666.25	12.29333333	13.12	24.80666667	28.05333333	614.81	673.7333333
G9606_6340	282679	AQP11	1.96	1.83	1.78	1.92	1.6	2.16	3.96	3.64	3.64	4.07	3.44	4.64	70	58	64.94	68	57.95	76	1.856666667	1.893333333	3.746666667	4.05	64.31333333	67.31666667
G9606_16623	84987	COX14	40.72	45.02	40.83	40.6	41.26	39.22	82.28	89.71	83.26	86.06	88.6	84.21	349	333	346	338	348	328	42.19	40.36	85.08333333	86.29	342.6666667	338
G9606_26136	23520	ANP32C	0	0.3	0.06	0.18	0	0	0	0.59	0.11	0.38	0	0	0	3.29	0.7	2.27	0	0	0.12	0.06	0.233333333	0.126666667	1.33	0.756666667
G9606_22948	285782	CAGE1	0.05	0.07	0.04	0.04	0.02	0.07	0.09	0.15	0.09	0.08	0.04	0.15	2.73	3.78	2.48	2	1	3.99	0.053333333	0.043333333	0.11	0.09	2.996666667	2.33
